Part Number,Qty Ordered,UM_Multiplier
MARK,0,1
 ,1,1
LOT,0,1
 ,0,1
ENCL12124,1,1
LDR24-16,1,1
LC-1CH-MULTI,1,1
LC-GR-DP,1,1
CABLE-CAT5-25,1,1
ECL-WH,1,1
EC-FL,2,1
SRP,1,1
GRX-CON,1,1
WF-CL50,0.02,1
LDR24-96,17,1
 ,0,1
 ,0,1
 ,0,1
 ,0,1
GRX-3000-15D-300,71,1
EX-SCR,1904,1
EX-USK-BK,476,1
EX-MD-BK,476,1
T24-300,5,1
EX-OR-22,952,1
EX-LSK-BK,476,1
EX-CNT,952,1
CABLE-BK,476,1
 ,0,1
EX-SPH-FR,476,1
EX-UB-IW,476,1
RV-SEAL,952,1
 ,0,1
 ,0,1
 ,0,1
CABLE-BK,139,1
EX-SPH-FR,139,1
EX-WW,139,1
RV-SEAL,278,1
EX-SCR,556,1
EX-OR-22,278,1
EX-USK-BK,139,1
EX-LSK-BK,139,1
EX-CNT,278,1
ECD-BK,4,1
EX-MDA-BK,139,1
T24-300,1,1
EX-WR,159,1
EX-TK,8,1
 ,0,1
 ,0,1
CABLE-BK,210,1
EX-SPH-FR,210,1
EX-WW,210,1
EX-TK,6,1
EX-WR,135,1
C2-96-24V,1,1
EX-MDA-BK,120,1
ECD-BK,3,1
EX-MDA-BK,45,1
T24-300,1,1
EX-WR,60,1
EX-TK,6,1
 ,0,1
 ,0,1
CABLE-BK,319,1
EX-SPH-FR,319,1
EX-WW,319,1
RV-SEAL,638,1
EX-SCR,1276,1
EX-OR-22,638,1
EX-USK-BK,319,1
EX-LSK-BK,319,1
EX-CNT,638,1
ECD-BK,4,1
EX-MDA-BK,319,1
EX-WR,339,1
EX-TK,8,1
 ,0,1
 ,0,1
CABLE-BK,456,1
EX-SPH-FR,456,1
EX-WW,456,1
RV-SEAL,912,1
EX-SCR,1824,1
EX-OR-22,912,1
EX-USK-BK,456,1
EX-LSK-BK,456,1
EX-CNT,912,1
ECD-BK,10,1
EX-MDA-BK,456,1
T24-150,4,1
EX-WR,506,1
EX-TK,20,1
ECD-BK,3,1
LOT,0,1
MARK,0,1
EX-CNT,240,1
EX-LSK-BK,120,1
EX-USK-BK,120,1
EX-OR-22,240,1
EX-SCR,480,1
RV-SEAL,240,1
EX-WW,120,1
 ,1,1
RV-SEAL,420,1
C2-40-24V,2,1
EX-SPH-FR,120,1
CABLE-BK,120,1
 ,0,1
 ,0,1
EX-TK,16,1
EX-WR,169,1
C2-96-24V,1,1
EX-MDA-BK,129,1
ECD-BK,8,1
EX-CNT,258,1
EX-LSK-BK,129,1
EX-USK-BK,129,1
EX-OR-22,258,1
EX-SCR,516,1
T24-300,1,1
 ,0,1
 ,0,1
CABLE-BK,129,1
EX-SCR,840,1
EX-SPH-FR,129,1
EX-WW,129,1
 ,0,1
EX-OR-22,420,1
T24-150,1,1
EX-MD-BK,210,1
ECD-BK,6,1
EX-CNT,420,1
EX-LSK-BK,210,1
EX-USK-BK,210,1
EX-CNT,90,1
EX-LSK-BK,45,1
RV-SEAL,258,1
EX-USK-BK,45,1
EX-OR-22,90,1
EX-SCR,180,1
RV-SEAL,90,1
EX-WW,45,1
EX-SPH-FR,45,1
CABLE-BK,45,1
EX-LSK-WH,68,1
RV-SEAL,312,1
EX-SCR,624,1
EX-LSK-WH,156,1
EX-WW,156,1
EX-SPH-CL,156,1
CABLE-WH,156,1
C2-40-24V,1,1
EX-USK-WH,68,1
EX-CNT,136,1
EX-OR-22,136,1
 ,0,1
EX-MDA-WH,156,1
ECD-WH,2,1
 ,0,1
 ,0,1
EX-MDA-WH,68,1
ECD-WH,1,1
RV-SEAL,136,1
EX-SCR,272,1
EX-WW,68,1
EX-SPH-CL,68,1
CABLE-WH,68,1
C2-96-24V,2,1
EX-USK-WH,156,1
EX-CNT,312,1
EX-OR-22,312,1
GRHB-BASE,6.68,1
MARK,0,1
LOT,0,1
 ,0,1
GRHB-3000-L,160,1
GRHB-LNS-8D,160,1
GRHB-LC,160,1
GRHB-AB,80,1
GRHB-100,6.68,1
GRHB-EC,80,1
LDRCC-40,12,1
 ,1,1
LSW-150,1339,1
MARK,0,1
TLED-WW-HB,2718.17,1
LDR8-40,5,1
ECL-WH,30,1
ECD-WH,30,1
TP-01,2700,1
LDR8-80,7,1
WP-L01C,2718.17,1
LOT,0,1
 ,1,1
WM-1220,21,1
KSG-LR,106,1
KSG-LR-SCR,106,1
RV-SEALANT,1.06,1
KSG-ED,2,1
KSG-GS-LW,106,1
KSG-MD,211,1
KSG-RGBW,106,1
KSG-SKT-SCR,424,1
KSG-CONTACT,318,1
KSG-LSK-BK,106,1
KSG-USK-BK,106,1
KSG-MC-2.4M-BK,5.46,1
 ,-1,1
KSG-CABLE,60,1
KSG-GS-LW,199.8,1
RV-SEALANT,1.26,1
KSG-CABLE,12.6,1
 ,1,1
KSG-LR-SCR,126,1
KSG-CABLE,80,1
KSG-GL-VI-C,19,1
KSG-MS,634,1
KSG-ED,4,1
KSG-CABLE,40,1
KSG-SEAL-MOD,106,1
KSG-GL-VI-C,10,1
KSG-PM,106,1
KSG-CABLE,40,1
KSG-ED,1,1
KSG-USK-BK,199.8,1
KSG-LSK-BK,199.8,1
KSG-CONTACT,599.4,1
KSG-SKT-SCR,799.2,1
KSG-RGBW,199.8,1
KSG-SEAL-MOD,199.8,1
KSG-LR,199.8,1
KSG-LR-SCR,199.8,1
RV-SEALANT,1.998,1
KSG-GL-VI-C,199.8,1
KSG-GL-VI-C,106,1
KSG-CABLE,31.8,1
KSG-USK-BK,126,1
KSG-LSK-BK,126,1
KSG-CONTACT,378,1
KSG-SKT-SCR,504,1
KSG-RGBW,126,1
KSG-SEAL-MOD,126,1
KSG-LR,126,1
GRX-LVR-SCREW,12,1
LOT,0,1
 ,0,1
 ,0,1
GRX-3000-15D-1200,12,1
GRX-LVR-BK,48,1
GRX-LVR,192,1
GRX-LVR-SCREW,252,1
GRX-3000-15D-300,2,1
GRX-LVR-BK,2,1
GRX-LVR,8,1
GRX-Y-CON,8,1
GRX-EC,2,1
ENCL12124,1,1
