Part Number,QtyRealTimeOnHand,QtyOnPurchaseOrder,Minimum_Stock_Level,Custom_Real_01
AFLEX-SF-COVER,2,0,0,1
AV-201,8542.97,0,0,1
AV-BASE-BK,17605.19,0,0,1
AV-BASE-SNAP,17101.415,0,0,1
AV-BASE-WH,38734.181,0,0,1
AV-BOX,104,0,0,1
AV-CH,4917,0,1500,1
AV-CH-PA,667,0,0,1
AV-CH-PG,1575,0,0,1
AV-CH-SA,0,0,500,1
AV-CH-WH,1097.501,0,500,1
AV-CL,1241,0,0,1
AV-CONN,13097,0,0,1
AV-CONTACT,78223.074,0,0,1
AV-CV-CL,2844.999,0,500,1
AV-CV-WH,1597.495,0,500,1
AV-EC-BK,725,0,0,1
AV-EC-SV,451,0,0,1
AV-EC-WH,197,0,0,1
AV-LCH,10554,0,1500,1
AV-LCH-BK,849.7,0,0,1
AV-LCH-PA,199.995,0,0,1
AV-LCH-PG,1099.64,0,0,1
AV-LCH-SA,3654.2,0,500,1
AV-LCH-WH,434.45,0,500,1
AV-LEC-BK,1924,0,0,1
AV-LEC-SV,493,0,0,1
AV-LEC-WH,872,0,0,1
AV-LNS,26556,0,0,1
AV-MC,602.397,0,500,1
AV-MC-BK,4300,0,0,1
AV-MS,31196,0,1000,1
AV-RB-BK,12850,0,0,1
AV-RB-WH,5444,0,0,1
AV-RF,64143.696,0,0,1
AV-RF-A,4139,0,0,1
AV-RF-S,18000,0,0,1
AV-TOWER-BK,13420,0,0,1
AV-TOWER-WH,36386.186,0,0,1
AVLED-4000K,0,0,0,1
AVLED-IW,2948,0,5000,1
AVLED-KC,459,0,2500,1
AVLED-LW,1062,0,0,1
AVLED-WW,2680.93,0,5000,1
AVLED-WW-G1,1068,0,0,1
AVO-BKT-V,523,0,0,1
AVO-CLMP-BASE,705,0,0,1
AVO-ED-CL,2459,0,0,1
AVO-EL-CL,1586,0,0,1
AVO-ELC-CL,1586,0,0,1
AVO-END-SCREW,3166,0,0,1
AVO-EXT,7474.75,0,0,1
AVO-HOLD-BK,610,0,0,1
AVO-NUT-BK,4839,0,0,1
AVO-TUBE-2.5M,218.22,0,0,1
AVWH-T-FR,620,0,0,1
AVWH-T-MP,645,0,0,1
AVXF-100,6075,0,0,0.328
AVXF-2000K,1952.4,0,0,1
AVXF-2400K,7735.129,10000,10000,1
AVXF-2700K,6325.228,20000,2500,1
AVXF-3000K,9365.579,5000,5000,1
AVXF-3500K,3140.56,0,2500,1
AVXF-4000K,3030.5,0,2500,1
AVXF-60,2656.671,1968,2000,0.197
AVXF-75,4377.148,10000,2500,0.246
AVXF-CP,4763,0,2000,1
AVXF-KC,1356.74,0,1000,1
AVXF-MC,3636.6,4100,1500,8.2
BB-301,106.616,0,0,1
C2-120-12V,1,0,0,1
C2-12DC-RPG,76,0,0,1
C2-180-12V,8,0,0,1
C2-192-24V,4,0,0,1
C2-240-12V,3,0,0,1
C2-24DC-RPG,199,0,0,1
C2-288-24V,0,0,0,1
C2-288-24V/277,0,0,0,1
C2-300-12V,60,0,0,1
C2-300-12V/277,0,0,0,1
C2-40-24V,92,0,50,1
C2-480-24V,4,0,0,1
C2-480-24V/277,0,0,0,1
C2-50-24V,219,0,50,1
